cdgo_jzgdo,dscrpcn_jzgdo,cnsctvo_cdgo_dpto,dscrpcn_jzgdo_hmlgdo,cnsctvo_cdgo_cdd,

50002204001,DESPACHO 001 DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,32,DESPACHO PRIMERO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,6673,
50002204001,DESPACHO PRIMERO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,32,DESPACHO PRIMERO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR ANTIOQUIA ,6673,


50002204002,DESPACHO 002 DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,32,DESPACHO SEGUNDO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,6673,
50002204003,DESPACHO 003 DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,32,DESPACHO TERCERO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,6673,
50002204004,DESPACHO 004 DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,32,DESPACHO CUARTO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,6673,
50002204005,DESPACHO 005 DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,32,DESPACHO QUINTO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,6673,
50002204006,DESPACHO 006 DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,32,DESPACHO SEXTO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,6673,
50002205001,DESPACHO 001 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,32,DESPACHO PRIMERO DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,6673,
50002205002,DESPACHO 002 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,32,DESPACHO SEGUNDO DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,6673,
50002205003,DESPACHO 003 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,32,DESPACHO TERCERO DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,6673,
50002213000,DESPACHO DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,32,NULL,6673,
50002213001,DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,32,DESPACHO PRIMERO DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,6673,
50002213002,DESPACHO 002 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,32,DESPACHO SEGUNDO DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,6673,
50002213003,DESPACHO 003 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,32,DESPACHO TERCERO DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,6673,
50002213004,DESPACHO 004 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,32,DESPACHO CUARTO DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,6673,
50002213005,DESPACHO 005 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE ANTIOQUIA,32,DESPACHO QUINTO DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE ANTIOQUIA,6673,
50002215000,SECRETARIA GENERAL DEL TRIBUNAL SUPERIOR DE ANTIOQUIA,32,NULL,6673,
50002221000,SECRETARIA DE LA SALA CIVIL ESPECIALIZADA EN RESTITUCION DE TIERRAS DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,32,NULL,6673,
50002221001,DESPACHO 001 DE LA SALA CIVIL ESPECIALIZADA EN RESTITUCION DE TIERRAS DEL TRIBUNAL SUPERIOR DE ANTIOQUIA,32,DESPACHO PRIMERO DE LA SALA CIVIL ESPECIALIZADA EN RESTITUCION DE TIERRAS DEL TRIBUNAL SUPERIOR DE ANTIOQUIA,6673,
50002221002,DESPACHO 002 DE LA SALA CIVIL ESPECIALIZADA EN RESTITUCION DE TIERRAS DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,32,DESPACHO SEGUNDO DE LA SALA CIVIL ESPECIALIZADA EN RESTITUCION DE TIERRAS DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,6673,
50002221003,DESPACHO 003 DE LA SALA CIVIL ESPECIALIZADA EN RESTITUCION DE TIERRAS DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,32,DESPACHO TERCERO DE LA SALA CIVIL ESPECIALIZADA EN RESTITUCION DE TIERRAS DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ,6673,
50003107001,JUZGADO 001 PENAL DE CIRCUITO ESPECIALIZADO DE ANTIOQUIA ,32,JUZGADO PRIMERO PENAL DE CIRCUITO ESPECIALIZADO DE ANTIOQUIA ,6673,
50003107002,JUZGADO 002 PENAL DE CIRCUITO ESPECIALIZADO DE ANTIOQUIA ,32,JUZGADO SEGUNDO PENAL DE CIRCUITO ESPECIALIZADO DE ANTIOQUIA ,6673,
50003107003,JUZGADO 003 PENAL DE CIRCUITO ESPECIALIZADO DE ANTIOQUIA ,32,JUZGADO TERCERO PENAL DE CIRCUITO ESPECIALIZADO DE ANTIOQUIA ,6673,
50003107004,JUZGADO 004 PENAL DE CIRCUITO ESPECIALIZADO DE ANTIOQUIA ,32,JUZGADO CUARTO PENAL DE CIRCUITO ESPECIALIZADO DE ANTIOQUIA ,6673,
50003107005,JUZGADO 005 PENAL DE CIRCUITO ESPECIALIZADO DE ANTIOQUIA ,32,JUZGADO QUINTO PENAL DE CIRCUITO ESPECIALIZADO DE ANTIOQUIA ,6673,
50003107006,JUZGADO 006 PENAL DE CIRCUITO ESPECIALIZADO DE ANTIOQUIA ,32,JUZGADO SEXTO PENAL DE CIRCUITO ESPECIALIZADO DE ANTIOQUIA ,6673,
50003107007,JUZGADO 007 PENAL DE CIRCUITO ESPECIALIZADO DE ANTIOQUIA ,32,JUZGADO SEPTIMO PENAL DE CIRCUITO ESPECIALIZADO DE ANTIOQUIA ,6673,
50003120001,JUZGADO 001 PENAL DEL CIRCUITO ESPECIALIZADO EN EXTINCION DE DOMINIO DE ANTIOQUIA ,32,JUZGADO PRIMERO PENAL DEL CIRCUITO ESPECIALIZADO EN EXTINCION DE DOMINIO DE ANTIOQUIA ,6673,
50003120002,JUZGADO 002 PENAL DEL CIRCUITO ESPECIALIZADO EN EXTINCION DE DOMINIO DE ANTIOQUIA ,32,JUZGADO SEGUNDO PENAL DEL CIRCUITO ESPECIALIZADO EN EXTINCION DE DOMINIO DE ANTIOQUIA ,6673,
50003121001,JUZGADO 001 CIVIL DEL CIRCUITO ESPECIALIZADO EN RESTITUCION DE TIERRAS DE ANTIOQUIA ,32,JUZGADO PRIMERO CIVIL DEL CIRCUITO ESPECIALIZADO EN RESTITUCION DE TIERRAS DE ANTIOQUIA ,6673,
50003121002,JUZGADO 002 CIVIL DEL CIRCUITO ESPECIALIZADO EN RESTITUCION DE TIERRAS DE ANTIOQUIA ,32,JUZGADO SEGUNDO CIVIL DEL CIRCUITO ESPECIALIZADO EN RESTITUCION DE TIERRAS DE ANTIOQUIA ,6673,
50003121101,JUZGADO 101 CIVIL DEL CIRCUITO ESPECIALIZADO EN RESTITUCION DE TIERRAS DE ANTIOQUIA ,32,NULL,6673,
50003187001,JUZGADO 001 DE EJECUCION DE PENAS Y MEDIDAS DE SEGURIDAD DE ANTIOQUIA ,32,JUZGADO PRIMERO DE EJECUCION DE PENAS Y MEDIDAS DE SEGURIDAD DE ANTIOQUIA ,6673,
50003187002,JUZGADO 002 DE EJECUCION DE PENAS Y MEDIDAS DE SEGURIDAD DE ANTIOQUIA ,32,JUZGADO SEGUNDO DE EJECUCION DE PENAS Y MEDIDAS DE SEGURIDAD DE ANTIOQUIA ,6673,
50003187003,JUZGADO 003 DE EJECUCION DE PENAS Y MEDIDAS DE SEGURIDAD DE ANTIOQUIA ,32,JUZGADO TERCERO DE EJECUCION DE PENAS Y MEDIDAS DE SEGURIDAD DE ANTIOQUIA ,6673,
50003187004,JUZGADO 004 DE EJECUCION DE PENAS Y MEDIDAS DE SEGURIDAD DE ANTIOQUIA ,32,JUZGADO CUARTO DE EJECUCION DE PENAS Y MEDIDAS DE SEGURIDAD DE ANTIOQUIA ,6673,
50003187005,JUZGADO 005 DE EJECUCION DE PENAS Y MEDIDAS DE SEGURIDAD DE ANTIOQUIA,32,JUZGADO QUINTO DE EJECUCION DE PENAS Y MEDIDAS DE SEGURIDAD DE ANTIOQUIA,6673,
50011200200,D.S.A.J. AREA ADMINISTRATIVA,32,NULL,6673,
50011200210,D.S.A.J. AREA ADMINISTRATIVA-GRUPO DE SERVICIOS ADMINISTRATIVOS,32,NULL,6673,
50011200230,D.S.A.J. AREA ADMINISTRATIVA-GRUPO DE ALMACEN,32,NULL,6673,
50011200260,D.S.A.J. AREA ADMINISTRATIVA-GRUPO MANTENIMIENTO Y SOPORTE TECNOLOGICO,32,NULL,6673,
50011200300,D.S.A.J. AREA JURIDICA,32,NULL,6673,
50011200310,D.S.A.J. AREA JURIDICA- GRUPO DE APOYO LEGAL,32,NULL,6673,
